Nr;Altersgruppe;Geschlecht;Verheiratet;Kinderzahl;Abschluss;Beruf;Familieneinkommen;Versicherung
20;25-35;m;nein;1;Gymnasium;Selbstaendig;5000 und mehr;Tarif_B
99;>65;m;nein;0;Realschule;Rentner;1000-1999;Tarif_C
36;50-65;m;nein;0;Hochschule;Rentner;2000-2999;Tarif_C
63;36-49;w;nein;0;keiner;Hausfrau;<1000;Tarif_C
84;19-24;w;nein;0;keiner;Angestellter;1000-1999;Tarif_C
21;19-24;m;ja;0;Gymnasium;Angestellter;2000-2999;Tarif_C
60;19-24;w;nein;0;Gymnasium;Angestellter;2000-2999;Tarif_C
40;25-35;w;nein;0;Hochschule;Selbstaendig;2000-2999;Tarif_C
13;36-49;m;nein;0;Hochschule;Angestellter;2000-2999;Tarif_C
9;19-24;w;nein;0;keiner;Selbstaendig;1000-1999;Tarif_C
89;36-49;m;nein;0;keiner;Angestellter;3000-3999;Tarif_B
92;<18;w;nein;0;keiner;Arbeiter;1000-1999;Tarif_C
88;36-49;m;ja;3;keiner;Selbstaendig;1000-1999;Tarif_C
35;19-24;w;nein;0;keiner;Selbstaendig;3000-3999;Tarif_C
8;<18;w;nein;0;keiner;Angestellter;2000-2999;Tarif_C
68;19-24;w;ja;0;Gymnasium;Hausfrau;3000-3999;Tarif_C
51;19-24;w;nein;0;keiner;Angestellter;3000-3999;Tarif_C
55;19-24;m;nein;0;keiner;Arbeiter;1000-1999;Tarif_C
87;<18;w;nein;0;keiner;Angestellter;2000-2999;Tarif_C
65;19-24;m;nein;0;Realschule;Arbeitslos;2000-2999;Tarif_C
